

Element = 0



 DT = 0

h 	 Alfa
68.000000 	 -0.00173568858356940026 
69.000000 	 -0.00175521752808453888 
70.000000 	 -0.00177599932587660901 
71.000000 	 -0.00179810777704046253 
72.000000 	 -0.00182077359967449922 
73.000000 	 -0.00184401814055745782 
74.000000 	 -0.00187144909968133661 
75.000000 	 -0.00190248862841177675 
76.000000 	 -0.00193553527081820049 
77.000000 	 -0.00197174198064618183 
78.000000 	 -0.00200829440232045244 
79.000000 	 -0.00204515461112981384 
80.000000 	 -0.00208228082103107748 
81.000000 	 -0.00211847586281814233 
82.000000 	 -0.00215238191033499671 
83.000000 	 -0.00218494000319054355 
84.000000 	 -0.00221471870096014156 
85.000000 	 -0.00224016146480449920 
86.000000 	 -0.00226225196940408680 
87.000000 	 -0.00227944090963065182 
88.000000 	 -0.00229014916065543991 
89.000000 	 -0.00229554110363014907 
90.000000 	 -0.00229284196215994362 


 DT = 2

h 	 DAlfa
60.000000 	 -0.00317603998910436294 
61.000000 	 -0.00321002403288870881 
62.000000 	 -0.00324339397884764727 
63.000000 	 -0.00327746501396925351 
64.000000 	 -0.00331225946733210933 
65.000000 	 -0.00334780062640990892 
66.000000 	 -0.00338411278904938865 
67.000000 	 -0.00342122131886683431 
68.000000 	 -0.00346068746243488210 
69.000000 	 -0.00349950399439447578 
70.000000 	 -0.00354080780315856091 
71.000000 	 -0.00358474500071252842 
72.000000 	 -0.00362978632216826675 
73.000000 	 -0.00367597391666108679 
74.000000 	 -0.00373047516404436189 
75.000000 	 -0.00379213972780334660 
76.000000 	 -0.00385778427765274450 
77.000000 	 -0.00392969724729861063 
78.000000 	 -0.00400228752565136466 
79.000000 	 -0.00407547954833770328 
80.000000 	 -0.00414919012239302592 
81.000000 	 -0.00422104264148457243 
82.000000 	 -0.00428834283300721236 
83.000000 	 -0.00435295987990686438 
84.000000 	 -0.00441205424052834149 
85.000000 	 -0.00446253923033229378 
86.000000 	 -0.00450636879652932879 
87.000000 	 -0.00454047084907321236 
88.000000 	 -0.00456171447141555907 
89.000000 	 -0.00457241100294168094 
